Tag,SerialNumber,Rack
CN00001,2111080PW0003A0110,1
CN00018,2111080PW0003A0118,2
CN00022,2111080PW0003A0114,3
CN00004,2111080PW0003A0107,4
CN00024,2204290PW0030A0102,5
CN00006,2111080PW0003A0119,6
CN00021,2111080PW0003A0115,7
CN00008,2111080PW0003A0103,8
CN00009,2111080PW0003A0120,9
CN00010,2111080PW0003A0117,10
CN00011,2111080PW0003A0116,11
CN00012,2111080PW0003A0108,12
CN00013,2111080PW0003A0104,13
CN00023,2204290PW0030A0101,14
CN00015,2111080PW0003A0101,15
CN00016,2111080PW0003A0106,16
CN00003,2111080PW0003A0122,17
CN00014,2111080PW0003A0113,18
CN00019,2111080PW0003A0121,19
CN00020,2111080PW0003A0105,20
CN00005,2111080PW0003A0111,22
CN00002,2111080PW0003A0112,
CN00007,2111080PW0003A0109,
CN00017,2111080PW0003A0102,
